datetime,trend_identified
2022-05-09 15:33:00,-1.0
2022-05-09 15:36:00,-1.0
2022-05-09 15:39:00,-1.0
2022-05-09 15:42:00,-1.0
2022-05-09 15:45:00,-1.0
2022-05-09 15:48:00,-1.0
2022-05-09 15:51:00,-1.0
2022-05-09 15:54:00,-1.0
2022-05-09 15:57:00,-1.0
2022-05-09 16:00:00,-1.0
2022-05-09 16:03:00,-1.0
2022-05-09 16:06:00,-1.0
2022-05-09 16:09:00,-1.0
2022-05-09 16:12:00,-1.0
2022-05-09 16:15:00,-1.0
2022-05-09 16:18:00,-1.0
2022-05-09 16:21:00,-1.0
2022-05-09 16:24:00,-1.0
2022-05-09 16:27:00,-1.0
2022-05-09 16:30:00,-1.0
2022-05-09 16:33:00,-1.0
2022-05-09 16:36:00,-1.0
2022-05-09 16:39:00,-1.0
2022-05-09 16:42:00,-1.0
2022-05-09 16:45:00,-1.0
2022-05-09 16:48:00,-1.0
2022-05-09 16:51:00,-1.0
2022-05-09 16:54:00,-1.0
2022-05-09 16:57:00,-1.0
2022-05-09 17:00:00,-1.0
2022-05-09 17:03:00,-1.0
2022-05-09 17:06:00,-1.0
2022-05-09 17:09:00,-1.0
2022-05-09 17:12:00,-1.0
2022-05-09 17:15:00,-1.0
2022-05-09 17:18:00,-1.0
2022-05-09 17:21:00,-1.0
2022-05-09 17:24:00,-1.0
2022-05-09 17:27:00,-1.0
2022-05-09 17:30:00,-1.0
2022-05-09 17:33:00,-1.0
2022-05-09 17:36:00,-1.0
2022-05-09 17:39:00,-1.0
2022-05-09 17:42:00,-1.0
2022-05-09 17:45:00,-1.0
2022-05-09 17:48:00,-1.0
2022-05-09 17:51:00,-1.0
2022-05-09 17:54:00,-1.0
2022-05-09 17:57:00,-1.0
2022-05-09 18:00:00,-1.0
2022-05-09 18:03:00,-1.0
2022-05-09 18:06:00,-1.0
2022-05-09 18:09:00,-1.0
2022-05-09 18:12:00,-1.0
2022-05-09 18:15:00,-1.0
2022-05-09 18:18:00,-1.0
2022-05-09 18:21:00,-1.0
2022-05-09 18:24:00,-1.0
2022-05-09 18:27:00,-1.0
2022-05-09 18:30:00,-1.0
2022-05-09 18:33:00,-1.0
2022-05-09 18:36:00,-1.0
2022-05-09 18:39:00,-1.0
2022-05-09 18:42:00,-1.0
2022-05-09 18:45:00,-1.0
2022-05-09 18:48:00,-1.0
2022-05-09 18:51:00,-1.0
2022-05-09 18:54:00,-1.0
2022-05-09 18:57:00,-1.0
2022-05-09 19:00:00,-1.0
2022-05-09 19:03:00,-1.0
2022-05-09 19:06:00,-1.0
2022-05-09 19:09:00,-1.0
2022-05-09 19:12:00,-1.0
2022-05-09 19:15:00,-1.0
2022-05-09 19:18:00,-1.0
2022-05-09 19:21:00,-1.0
2022-05-09 19:24:00,-1.0
2022-05-09 19:27:00,-1.0
2022-05-09 19:30:00,-1.0
2022-05-09 19:33:00,-1.0
2022-05-09 19:36:00,-1.0
2022-05-09 19:39:00,-1.0
2022-05-09 19:42:00,-1.0
2022-05-09 19:45:00,-1.0
2022-05-09 19:48:00,-1.0
2022-05-09 19:51:00,-1.0
2022-05-09 19:54:00,-1.0
2022-05-09 19:57:00,-1.0
2022-05-09 20:00:00,-1.0
2022-05-09 20:03:00,-1.0
2022-05-09 20:06:00,-1.0
2022-05-09 20:09:00,-1.0
2022-05-09 20:12:00,-1.0
2022-05-09 20:15:00,-1.0
2022-05-09 20:18:00,-1.0
2022-05-09 20:21:00,-1.0
2022-05-09 20:24:00,-1.0
2022-05-09 20:27:00,-1.0
2022-05-09 20:30:00,-1.0
2022-05-09 20:33:00,-1.0
2022-05-09 20:36:00,-1.0
2022-05-09 20:39:00,-1.0
2022-05-09 20:42:00,-1.0
2022-05-09 20:45:00,-1.0
2022-05-09 20:48:00,-1.0
2022-05-09 20:51:00,-1.0
2022-05-09 20:54:00,-1.0
2022-05-09 20:57:00,-1.0
2022-05-09 21:00:00,-1.0
2022-05-09 21:03:00,-1.0
2022-05-09 21:06:00,-1.0
2022-05-09 21:09:00,-1.0
2022-05-09 21:12:00,-1.0
2022-05-09 21:15:00,-1.0
2022-05-09 21:18:00,-1.0
2022-05-09 21:21:00,-1.0
2022-05-09 21:24:00,-1.0
2022-05-09 21:27:00,-1.0
2022-05-09 21:30:00,-1.0
2022-05-09 21:33:00,-1.0
2022-05-09 21:36:00,-1.0
2022-05-09 21:39:00,-1.0
2022-05-09 21:42:00,-1.0
2022-05-09 21:45:00,-1.0
2022-05-09 21:48:00,-1.0
2022-05-09 21:51:00,-1.0
2022-05-09 21:54:00,-1.0
2022-05-09 21:57:00,-1.0
2022-05-09 22:00:00,-1.0
2022-05-09 22:03:00,-1.0
2022-05-09 22:06:00,-1.0
2022-05-09 22:09:00,-1.0
2022-05-09 22:12:00,-1.0
2022-05-09 22:15:00,-1.0
2022-05-09 22:18:00,-1.0
2022-05-09 22:21:00,-1.0
2022-05-09 22:24:00,-1.0
2022-05-09 22:27:00,-1.0
2022-05-09 22:30:00,-1.0
2022-05-09 22:33:00,-1.0
2022-05-09 22:36:00,-1.0
2022-05-09 22:39:00,-1.0
2022-05-09 22:42:00,-1.0
2022-05-09 22:45:00,-1.0
2022-05-09 22:48:00,-1.0
2022-05-09 22:51:00,-1.0
2022-05-09 22:54:00,-1.0
2022-05-09 22:57:00,-1.0
2022-05-09 23:00:00,-1.0
2022-05-09 23:03:00,-1.0
2022-05-09 23:06:00,-1.0
2022-05-09 23:09:00,-1.0
2022-05-09 23:12:00,-1.0
2022-05-09 23:15:00,-1.0
2022-05-09 23:18:00,-1.0
2022-05-09 23:21:00,-1.0
2022-05-09 23:24:00,-1.0
2022-05-09 23:27:00,-1.0
2022-05-09 23:30:00,-1.0
2022-05-09 23:33:00,-1.0
2022-05-09 23:36:00,-1.0
2022-05-09 23:39:00,-1.0
2022-05-09 23:42:00,-1.0
2022-05-09 23:45:00,-1.0
2022-05-09 23:48:00,-1.0
2022-05-09 23:51:00,-1.0
2022-05-09 23:54:00,-1.0
2022-05-09 23:57:00,-1.0
2022-05-10 00:00:00,-1.0
2022-05-10 00:03:00,-1.0
2022-05-10 00:06:00,-1.0
2022-05-10 00:09:00,-1.0
2022-05-10 00:12:00,-1.0
2022-05-10 00:15:00,-1.0
2022-05-10 00:18:00,-1.0
2022-05-10 00:21:00,-1.0
2022-05-10 00:24:00,-1.0
2022-05-10 00:27:00,-1.0
2022-05-10 00:30:00,-1.0
2022-05-10 00:33:00,-1.0
2022-05-10 00:36:00,-1.0
2022-05-10 00:39:00,-1.0
2022-05-10 00:42:00,-1.0
2022-05-10 00:45:00,-1.0
2022-05-10 00:48:00,-1.0
2022-05-10 00:51:00,-1.0
2022-05-10 00:54:00,-1.0
2022-05-10 00:57:00,-1.0
2022-05-10 01:00:00,-1.0
2022-05-10 01:03:00,-1.0
2022-05-10 01:06:00,-1.0
2022-05-10 01:09:00,-1.0
2022-05-10 01:12:00,-1.0
2022-05-10 01:15:00,-1.0
2022-05-10 01:18:00,-1.0
2022-05-10 01:21:00,-1.0
2022-05-10 01:24:00,-1.0
2022-05-10 01:27:00,-1.0
2022-05-10 01:30:00,-1.0
2022-05-10 01:33:00,-1.0
2022-05-10 01:36:00,-1.0
2022-05-10 01:39:00,-1.0
2022-05-10 01:42:00,-1.0
2022-05-10 01:45:00,-1.0
2022-05-10 01:48:00,-1.0
2022-05-10 01:51:00,-1.0
2022-05-10 01:54:00,-1.0
2022-05-10 01:57:00,-1.0
2022-05-10 02:00:00,-1.0
2022-05-10 02:03:00,-1.0
2022-05-10 02:06:00,-1.0
2022-05-10 02:09:00,-1.0
2022-05-10 02:12:00,-1.0
2022-05-10 02:15:00,-1.0
2022-05-10 02:18:00,-1.0
2022-05-10 02:21:00,-1.0
2022-05-10 02:24:00,-1.0
2022-05-10 02:27:00,-1.0
2022-05-10 02:30:00,-1.0
2022-05-10 02:33:00,-1.0
2022-05-10 02:36:00,-1.0
2022-05-10 02:39:00,-1.0
2022-05-10 02:42:00,-1.0
2022-05-10 02:45:00,-1.0
2022-05-10 02:48:00,-1.0
2022-05-10 02:51:00,-1.0
2022-05-10 02:54:00,-1.0
2022-05-10 02:57:00,-1.0
2022-05-10 03:00:00,-1.0
2022-05-10 03:03:00,-1.0
2022-05-10 03:06:00,-1.0
2022-05-10 03:09:00,-1.0
2022-05-10 03:12:00,-1.0
2022-05-10 03:15:00,-1.0
2022-05-10 03:18:00,-1.0
2022-05-10 03:21:00,-1.0
2022-05-10 03:24:00,-1.0
2022-05-10 03:27:00,-1.0
2022-05-10 03:30:00,-1.0
2022-05-10 03:33:00,-1.0
2022-05-10 03:36:00,-1.0
2022-05-10 03:39:00,-1.0
2022-05-10 03:42:00,-1.0
2022-05-10 03:45:00,-1.0
2022-05-10 03:48:00,-1.0
2022-05-10 03:51:00,-1.0
2022-05-10 03:54:00,-1.0
2022-05-10 03:57:00,-1.0
2022-05-10 04:00:00,-1.0
2022-05-10 04:03:00,-1.0
2022-05-10 04:06:00,-1.0
2022-05-10 04:09:00,-1.0
2022-05-10 04:12:00,-1.0
2022-05-10 04:15:00,-1.0
2022-05-10 04:18:00,-1.0
2022-05-10 04:21:00,-1.0
2022-05-10 04:24:00,-1.0
2022-05-10 04:27:00,-1.0
2022-05-10 04:30:00,-1.0
2022-05-10 04:33:00,-1.0
2022-05-10 04:36:00,-1.0
2022-05-10 04:39:00,-1.0
2022-05-10 04:42:00,-1.0
2022-05-10 04:45:00,-1.0
2022-05-10 04:48:00,-1.0
2022-05-10 04:51:00,-1.0
2022-05-10 04:54:00,-1.0
2022-05-10 04:57:00,-1.0
2022-05-10 05:00:00,-1.0
2022-05-10 05:03:00,-1.0
2022-05-10 05:06:00,-1.0
2022-05-10 05:09:00,-1.0
2022-05-10 05:12:00,-1.0
2022-05-10 05:15:00,-1.0
2022-05-10 05:18:00,-1.0
2022-05-10 05:21:00,-1.0
2022-05-10 05:24:00,-1.0
2022-05-10 05:27:00,-1.0
2022-05-10 05:30:00,-1.0
2022-05-10 05:33:00,-1.0
2022-05-10 06:03:00,-1.0
2022-05-10 16:09:00,-1.0
2022-05-10 16:12:00,-1.0
2022-05-10 16:24:00,-1.0
2022-05-10 16:27:00,-1.0
2022-05-10 16:30:00,-1.0
2022-05-10 16:33:00,-1.0
2022-05-10 16:36:00,-1.0
2022-05-10 16:39:00,-1.0
2022-05-10 16:42:00,-1.0
2022-05-10 16:54:00,-1.0
2022-05-10 17:00:00,-1.0
2022-05-10 20:24:00,-1.0
2022-05-10 20:39:00,-1.0
2022-05-10 20:42:00,-1.0
2022-05-10 20:54:00,-1.0
2022-05-10 20:57:00,-1.0
2022-05-10 21:03:00,-1.0
2022-05-10 21:06:00,-1.0
2022-05-10 21:09:00,-1.0
2022-05-10 21:12:00,-1.0
2022-05-10 21:15:00,-1.0
2022-05-10 21:18:00,-1.0
2022-05-10 21:24:00,-1.0
2022-05-10 21:27:00,-1.0
2022-05-10 21:30:00,-1.0
2022-05-10 21:33:00,-1.0
2022-05-10 21:36:00,-1.0
2022-05-10 21:39:00,-1.0
2022-05-10 21:42:00,-1.0
2022-05-10 21:45:00,-1.0
2022-05-10 21:48:00,-1.0
