datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-10-23 21:25:00,109695.59,109727.22,109651.94,109651.95,25.54566,2025-10-23 21:29:59.999,2802368.6072193,5279,18.45951,2025133.561549,0
2025-10-23 21:30:00,109651.95,109651.95,109506.0,109506.0,26.40762,2025-10-23 21:34:59.999,2893011.5282356,4752,7.29626,799167.3419179,0
2025-10-23 21:35:00,109506.01,109506.01,109451.65,109493.27,21.57943,2025-10-23 21:39:59.999,2362384.7518491,5005,7.6117,833260.9477881,0
2025-10-23 21:40:00,109493.27,109676.0,109380.12,109462.6,69.90412,2025-10-23 21:44:59.999,7656193.7935978,15917,26.25945,2876510.2335398,0
2025-10-23 21:45:00,109462.59,109597.32,109462.59,109579.79,22.95224,2025-10-23 21:49:59.999,2514442.5705619,15746,13.26717,1453166.176558,0
2025-10-23 21:50:00,109579.8,109607.86,109506.41,109520.01,38.39605,2025-10-23 21:54:59.999,4206866.9921168,13361,20.76573,2275034.7874587,0
2025-10-23 21:55:00,109520.0,109536.89,109471.88,109532.97,37.10464,2025-10-23 21:59:59.999,4062851.7489568,8099,15.86607,1737237.0474334,0
2025-10-23 22:00:00,109532.96,109690.71,109517.37,109678.63,39.35827,2025-10-23 22:04:59.999,4315222.0759483,11831,27.56506,3022008.7406164,0
2025-10-23 22:05:00,109678.62,109984.41,109678.62,109911.66,77.15397,2025-10-23 22:09:59.999,8476245.217416,14468,48.48251,5326048.1282661,0
2025-10-23 22:10:00,109911.66,109939.76,109809.7,109858.0,25.08942,2025-10-23 22:14:59.999,2755956.8517995,8528,10.26598,1127583.2018123,0
2025-10-23 22:15:00,109858.0,109899.99,109830.15,109857.57,20.3413,2025-10-23 22:19:59.999,2234544.4768741,5811,6.3351,695908.608224,0
2025-10-23 22:20:00,109857.57,109857.57,109797.27,109816.72,13.65055,2025-10-23 22:24:59.999,1499047.8562132,5276,5.4991,603816.6089204,0
2025-10-23 22:25:00,109816.72,109985.55,109816.72,109975.4,33.63139,2025-10-23 22:29:59.999,3696327.0151212,5160,21.80773,2396955.2256429,0
2025-10-23 22:30:00,109975.41,110158.37,109975.41,110069.02,93.71807,2025-10-23 22:34:59.999,10317059.5925756,14994,62.75539,6908088.3539811,0
2025-10-23 22:35:00,110069.02,110083.5,110003.26,110083.5,16.68469,2025-10-23 22:39:59.999,1835974.7756401,3766,4.88585,537613.3542433,0
